id,NAME,Address,District,Test Type,FullAddres,Lab Type,Latitude,Longitude
54,Nirmala Medical Centre,Nirmala Medical Centre  Muvattupuzha,Ernakulam,ANTIGEN,Nirmala Medical Centre  Muvattupuzha  Ernakulam,Private Lab,9.9797144,76.592478
55,Specialists Hospital,Specialists Hospital  K.C.M Mather road  Ernakulam,Ernakulam,ANTIGEN,Specialists Hospital  K.C.M Mather road  Ernakulam  Ernakulam,Private Lab,9.9905344,76.286018
56,Neuberg Diagnostics,Neuberg Diagnostics  Kaloor  Kochi,Ernakulam,ANTIGEN,Neuberg Diagnostics  Kaloor  Kochi,Private Lab,9.9951444,76.291494
57,Vivid Diagnostic Centre,Vivid Diagnostic Centre  Chalikkavattom  Vytila,Ernakulam,ANTIGEN,Vivid Diagnostic Centre  Chalikkavattom  Vytila  Ernakulam,Private Lab,9.9799820,76.282025
58,Sree Narayana Institute of medical sciences,Sree Narayana Institute of medical sciences Chalakka,Ernakulam,ANTIGEN,Sree Narayana Institute of medical sciences Chalakka  Ernakulam,Private Lab,10.0480270,76.354024
59,Hi Tech Diagnostic Centre Palarivattom,Hi Tech Diagnostic Centre Palarivattom,Ernakulam,ANTIGEN,Hi Tech Diagnostic Centre Palarivattom  Ernakulam,Private Lab,10.0188960,76.289241
60,Devi Hospital Pvt Ltd,Devi Hospital Pvt Ltd North Fort Gate Tripunithura,Ernakulam,ANTIGEN,Devi Hospital Pvt Ltd North Fort Gate Tripunithura   Ernakulam,Private Lab,10.0528210,76.477804
61,Sreekantapuram Hospital,Sreekantapuram Hospital  Mavelikkara,Ernakulam,ANTIGEN,Sreekantapuram Hospital  Mavelikkara  Ernakulam,Private Lab,9.9893920,76.289097
62,V S M Hospital,V S M Hospital  Thattarambalam  Mavelikkara,Ernakulam,ANTIGEN,V S M Hospital  Thattarambalam  Mavelikkara  Ernakulam,Private Lab,9.8548110,76.526625
63,M A J Hospital,M A J Hospital  Edappally  Kochi,Ernakulam,ANTIGEN,M A J Hospital  Edappally  Kochi  Ernakulam,Private Lab,10.0212380,76.308035
64,Don Bosco Hospital,Don Bosco Hospital  North Paravur  Ernakulam,Ernakulam,ANTIGEN,Don Bosco Hospital  North Paravur  Ernakulam  Ernakulam,Private Lab,9.9981190,76.314588
65,MOSC Medical College Hospital,MOSC Medical College Hospital  Kolenchery  Ernakulam  Kerala,Ernakulam,ANTIGEN,MOSC Medical College Hospital  Kolenchery  Ernakulam  Kerala  Ernakulam,Private Lab,10.0529550,76.355734
66,Doctor's Diagnostic Centre Pvt Ltd,Doctor's Diagnostic Centre Pvt Ltd  CGN Building  Thripunithura Ernakulam,Ernakulam,ANTIGEN,Doctor's Diagnostic Centre Pvt Ltd  CGN Building  Thripunithura Ernakulam  Ernakulam,Private Lab,9.9506100,76.331452
67,EI Lab Metropolis,EI Lab Metropolis  North Square Building Opp Town Hall  Ernakulam North,Ernakulam,ANTIGEN,EI Lab Metropolis  North Square Building Opp Town Hall  Ernakulam North  Ernakulam,Private Lab,9.8548110,76.526625
68,Akshaya Hospital,Akshaya Hospital  Kaloor  Kadavanthra  Kochi,Ernakulam,ANTIGEN,Akshaya Hospital  Kaloor  Kadavanthra  Kochi  Ernakulam,Private Lab,9.9690250,76.299662
69,AP Varkey Mission Hospital,AP Varkey Mission Hospital Thottapady  Arakkunnam  Mulanthuruthy,Ernakulam,ANTIGEN,AP Varkey Mission Hospital Thottapady  Arakkunnam  Mulanthuruthy  Ernakulam,Private Lab,9.8859300,76.447221
70,Ernaklam Medical Centre Hospital (P) Ltd,Ernaklam Medical Centre Hospital (P Ltd  NH Bypass  Pallarivattom  Cochin,Ernakulam,ANTIGEN,Ernaklam Medical Centre Hospital (P Ltd  NH Bypass  Pallarivattom  Cochin  Ernakulam,Private Lab,10.0528210,76.477804
71,Dr. Lal PathLabs Ltd.,Dr. Lal PathLabs Ltd. Opp College Ground M.G. Road Ernakulam Cochin,Ernakulam,ANTIGEN,Dr. Lal PathLabs Ltd. Opp College Ground M.G. Road Ernakulam Cochin  Ernakulam,Private Lab,10.0528210,76.477804
72,B and B Memorial Hospital,B and B Memorial Hospital  Thrikkakara  Ernakulam,Ernakulam,ANTIGEN,B and B Memorial Hospital  Thrikkakara  Ernakulam  Ernakulam,Private Lab,9.9932700,76.283359
73,Gautham Hospital,Gautham Hospital  Panayappilly  Kochi,Ernakulam,ANTIGEN,Gautham Hospital  Panayappilly  Kochi  Ernakulam,Private Lab,9.9468667,76.256042
74,Lakshmi Hospital,Lakshmi Hospital  Diwans Road  Ernakulam,Ernakulam,ANTIGEN,Lakshmi Hospital  Diwans Road  Ernakulam  Ernakulam,Private Lab,9.9663657,76.283693
75,Thrikkakara Municipal Cooperative Hospital Society Ltd No.E-993,Thrikkakara Municipal Cooperative Hospital Society Ltd No.E-993  Kakkanad,Ernakulam,ANTIGEN,Thrikkakara Municipal Cooperative Hospital Society Ltd No.E-993  Kakkanad,Private Lab,10.0189611,76.343494
76,Medical Trust Hospital,Medical Trust Hospital  Kuzhuppilly  Ayyampilly  Ernakulam,Ernakulam,ANTIGEN,Medical Trust Hospital  Kuzhuppilly  Ayyampilly  Ernakulam  Ernakulam,Private Lab,10.0441870,76.317804
77,Karothukuzhi Hospital,Karothukuzhi Hospital  Aluva Ernakulam,Ernakulam,ANTIGEN,Karothukuzhi Hospital  Aluva Ernakulam  Ernakulam,Private Lab,10.1052629,76.350946
78,KRISHNA HOSPITAL,KRISHNA HOSPITAL  M G CHITTOOR ROAD  COCHIN,Ernakulam,ANTIGEN,KRISHNA HOSPITAL  M G CHITTOOR ROAD  COCHIN  Ernakulam,Private Lab,10.0528210,76.477804
79,Ernakulam Medical Centre Hospital (P Ltd,Ernakulam Medical Centre Hospital (P Ltd  Palarivattom  Kochi,Ernakulam,ANTIGEN,Ernakulam Medical Centre Hospital (P Ltd  Palarivattom  Kochi  Ernakulam,Private Lab,9.9996780,76.314531
80,Meditech Diagnostic Centre,Meditech Diagnostic Centre  Silpa Complex  Muppathadam P O  Aluva,Ernakulam,ANTIGEN,Meditech Diagnostic Centre  Silpa Complex  Muppathadam P O  Aluva  Ernakulam,Private Lab,9.9799820,76.282025
81,Vimala Hospital,Vimala Hospital  Kanjoor  Ernakulam,Ernakulam,ANTIGEN,Vimala Hospital  Kanjoor  Ernakulam  Ernakulam,Private Lab,10.1446050,76.424672
82,Muvattupuzha Co-operative Super Speciality Hospital,Muvattupuzha Co-operative Super Speciality Hospital,Ernakulam,ANTIGEN,Muvattupuzha Co-operative Super Speciality Hospital,Private Lab,9.9922306,76.587950
83,Sangeeth Hospital,Sangeeth Hospital  Mattanchery PO  Ernakulam,Ernakulam,ANTIGEN,Sangeeth Hospital  Mattanchery PO  Ernakulam,Private Lab,9.9572806,76.251000
84,Medivision Scan & Diagnostic Research Centre Pvt Ltd,Medivision Scan & Diagnostic Research Centre Pvt Ltd  Ravipuram  Kochi,Ernakulam,ANTIGEN,Medivision Scan & Diagnostic Research Centre Pvt Ltd  Ravipuram  Kochi  Ernakulam,Private Lab,9.9616530,76.289423
85,Santhula trust hospital,Santhula trust hospital  Vadakara PO  Koothattukulam  Ernakulam,Ernakulam,ANTIGEN,Santhula trust hospital  Vadakara PO  Koothattukulam  Ernakulam  Ernakulam,Private Lab,9.9888190,76.577693
86,NEDUMCHALIL TRUST HOSPITAL,NEDUMCHALIL TRUST HOSPITAL MARKET P O MUVATTUPUZHA,Ernakulam,ANTIGEN,NEDUMCHALIL TRUST HOSPITAL MARKET P O MUVATTUPUZHA  Ernakulam,Private Lab,10.0134210,76.626624
87,DEPARTMENT OF LABORATORY,DEPARTMENT OF LABORATORY  Shenoys CARE (P LTD  Near Nippon Toyota   Nettoor   Ernakulam,Ernakulam,ANTIGEN,DEPARTMENT OF LABORATORY  Shenoys CARE (P LTD  Near Nippon Toyota   Nettoor   Ernakulam  Ernakulam,Private Lab,10.0883290,76.425394
88,Dr KUNHALUS NURSING HOME,Dr KUNHALUS NURSING HOME T D ROAD  ERNAKULAM,Ernakulam,ANTIGEN,Dr KUNHALUS NURSING HOME T D ROAD  ERNAKULAM  Ernakulam,Private Lab,9.8548110,76.526625
89,Naveen Lab,Naveen Lab  Near Govt. Hospital  Perumbavoor  Ernakulam,Ernakulam,ANTIGEN,Naveen Lab  Near Govt. Hospital  Perumbavoor  Ernakulam,Private Lab,10.1155944,76.481197
90,PMM Hospital,PMM Hospital  Kalady  Kanjoor Road,Ernakulam,ANTIGEN,PMM Hospital  Kalady  Kanjoor Road  Ernakulam,Private Lab,9.8548110,76.526625
91,VISHUS HI TECH DIAGNOSTIC CENTRE,VISHUS HI TECH DIAGNOSTIC CENTRE  Thundathil building  PWD road  SN junction  Nettoor- Madavana road  Ernakulam,Ernakulam,ANTIGEN,VISHUS HI TECH DIAGNOSTIC CENTRE  Thundathil building  PWD road  SN junction  Nettoor- Madavana road  Ernakulam  Ernakulam,Private Lab,9.8548110,76.526625
92,Welcare Hospital,Welcare Hospital  SA Road  Vytila,Ernakulam,ANTIGEN,Welcare Hospital  SA Road  Vytila  Ernakulam,Private Lab,9.9996610,76.301096
93,Devamatha Hospital,Devamatha Hospital  Koothattukulam  Ernakulam,Ernakulam,ANTIGEN,Devamatha Hospital  Koothattukulam  Ernakulam  Ernakulam,Private Lab,9.8656390,76.595315
94,Najath Hospital,Najath Hospital  Bye Pass Junction  Aluva,Ernakulam,ANTIGEN,Najath Hospital  Bye Pass Junction  Aluva  Ernakulam,Private Lab,10.1109830,76.351570
95,Anwar Memorial Hospital Health Laboratory,Anwar Memorial Hospital Health Laboratory  Santhosh Lane  Aluva,Ernakulam,ANTIGEN,Anwar Memorial Hospital Health Laboratory  Santhosh Lane  Aluva  Ernakulam,Private Lab,9.9334100,76.383017
96,Apollo Adlux hospital,Apollo Adlux hospital  35/2  Cable junction  Karukutty post  Angamaly  Ernakulam,Ernakulam,ANTIGEN,Apollo Adlux hospital  35/2  Cable junction  Karukutty post  Angamaly  Ernakulam,Private Lab,10.2396806,76.372492
97,V.G.Saraf Memorial Hospital Pvt Ltd,V.G.Saraf Memorial Hospital Pvt Ltd  39/4603-A  Sreekandath  Road  Ravipuram,Ernakulam,ANTIGEN,V.G.Saraf Memorial Hospital Pvt Ltd  39/4603-A  Sreekandath  Road  Ravipuram  Ernakulam,Private Lab,9.8548110,76.526625
98,Holy Family Hospital,Holy Family Hospital Muthalakodam  Idukki,Idukki,ANTIGEN,Holy Family Hospital Muthalakodam  Idukki  Idukki,Private Lab,9.9122220,76.733642
99,Chazhikattu Hospitals pvt Ltd,Chazhikattu Hospitals pvt Ltd IX/139A River View Road Thodupuzha Idukki,Idukki,ANTIGEN,Chazhikattu Hospitals pvt Ltd IX/139A River View Road Thodupuzha Idukki  Idukki,Private Lab,9.9390920,76.712615
100,St. Marys Health Care Pvt Ltd. Thodupuzha,St. Marys Health Care Pvt Ltd. Thodupuzha,Idukki,ANTIGEN,St. Marys Health Care Pvt Ltd. Thodupuzha  Idukki,Private Lab,9.8968260,76.937710
101,Idukki District Co Operative Hospital,Idukki District Co Operative Hospital   Thodupuzha,Idukki,ANTIGEN,Idukki District Co Operative Hospital   Thodupuzha  Idukki,Private Lab,9.7370470,77.061336
102,Al Azhar Medical College & Hospital,Al Azhar Medical College & Hospital  Thodupuzha,Idukki,ANTIGEN,Al Azhar Medical College & Hospital  Thodupuzha,Private Lab,9.9347861,76.723261
103,St. John's Hospital,St. John's Hospital  Kattappana South P.O.  Idukki .,Idukki,ANTIGEN,St. John's Hospital  Kattappana South P.O.  Idukki .  Idukki,Private Lab,9.7470130,77.109715
104,Alphonsa Hospital,Alphonsa Hospital  Murickassery  Idukki,Idukki,ANTIGEN,Alphonsa Hospital  Murickassery  Idukki  Idukki,Private Lab,9.9135049,77.009209
105,Morning Star Medical Centre,Morning Star Medical Centre  Nazareth Hill  Adimaly  Idukki,Idukki,ANTIGEN,Morning Star Medical Centre  Nazareth Hill  Adimaly  Idukki  Idukki,Private Lab,9.9921770,77.043171
106,Mundakayam Medical Trust Hospital,Mundakayam Medical Trust Hospital  Idukki,Idukki,ANTIGEN,Mundakayam Medical Trust Hospital  Idukki  Idukki,Private Lab,9.5351440,76.908997
107,Karuna Hospital,Karuna Hospital  Thodupuzha  Idukki,Idukki,ANTIGEN,Karuna Hospital  Thodupuzha  Idukki  Idukki,Private Lab,9.8378009,76.746909
108,SMART MEDIPLUS DIAGNOSTIC CENTRE,SMART MEDIPLUS DIAGNOSTIC CENTRE  Thodupuzha,Idukki,ANTIGEN,SMART MEDIPLUS DIAGNOSTIC CENTRE  Thodupuzha,Private Lab,9.9021417,76.724194
109,Medical Trust Hospital,Medical Trust Hospital  Nedumkandam  Idukki,Idukki,ANTIGEN,Medical Trust Hospital  Nedumkandam  Idukki  Idukki,Private Lab,9.5351440,76.908997
110,SMART MEDIPLUS DIAGNOSTIC CENTRE,SMART MEDIPLUS DIAGNOSTIC CENTRE  KALLIKUZHY BUILDING  LIBRARY ROAD   ADIMALY,Idukki,ANTIGEN,SMART MEDIPLUS DIAGNOSTIC CENTRE  KALLIKUZHY BUILDING  LIBRARY ROAD   ADIMALY,Private Lab,10.0128639,76.958869
111,Aster MIMS Kannur,Aster MIMS Kannur,Kannur,ANTIGEN,Aster MIMS Kannur  Kannur,Private Lab,11.8391384,75.429997
112,St.Martin De Porres Hospital,St.Martin De Porres Hospital Cherukunnu Kannur,Kannur,ANTIGEN,St.Martin De Porres Hospital Cherukunnu Kannur  Kannur,Private Lab,11.9945472,75.313369
113,Superspeciality Lab,Superspeciality Lab  Payyoli,Kannur,ANTIGEN,Superspeciality Lab  Payyoli  Kannur,Private Lab,11.7812930,75.515001
114,THE LAB,THE LAB  LABORATORY AND SCANNING CENTRE  RAILWAY STATION ROAD  PAZHAYANGADI  KANNUR,Kannur,ANTIGEN,THE LAB  LABORATORY AND SCANNING CENTRE  RAILWAY STATION ROAD  PAZHAYANGADI  KANNUR  Kannur,Private Lab,11.8629460,75.358829
115,Indira Gandhi Co-OP Hospital,Indira Gandhi Co-OP Hospital Manjodi  Thalassery  Kannur,Kannur,ANTIGEN,Indira Gandhi Co-OP Hospital Manjodi  Thalassery  Kannur  Kannur,Private Lab,11.7468930,75.506134
116,AKG Memorial Co operative Hospital,AKG Memorial Co operative Hospital  Kannur,Kannur,ANTIGEN,AKG Memorial Co operative Hospital  Kannur,Private Lab,11.8851528,75.373044
117,THE PAYYANUR CO OPERATIVE HOSPITAL SOCIETY LTD,THE PAYYANUR CO OPERATIVE HOSPITAL SOCIETY LTD  SOUTH BAZAR  PAYYANUR  PAYYANUR PO  KANNUR,Kannur,ANTIGEN,THE PAYYANUR CO OPERATIVE HOSPITAL SOCIETY LTD  SOUTH BAZAR  PAYYANUR  PAYYANUR PO  KANNUR  Kannur,Private Lab,11.8190470,75.548752
118,LEO CLINICAL DIAGNOSTIC CENTRE LLP,LEO CLINICAL DIAGNOSTIC CENTRE LLP  Opp G mall  South Bazar Kannur,Kannur,ANTIGEN,LEO CLINICAL DIAGNOSTIC CENTRE LLP  Opp G mall  South Bazar Kannur  Kannur,Private Lab,11.8629460,75.358829
119,CnC Hitech Lab,CnC Hitech Lab  Nr sub registrar office  Eripuram  Payangadi  Kannur,Kannur,ANTIGEN,CnC Hitech Lab  Nr sub registrar office  Eripuram  Payangadi  Kannur,Private Lab,12.0298778,75.265967
120,Gimcare Hospital,Gimcare Hospital Building No: 32/1094/1-8  Chala Bypass  Thottada (PO  Kannur,Kannur,ANTIGEN,Gimcare Hospital Building No: 32/1094/1-8  Chala Bypass  Thottada (PO  Kannur  Kannur,Private Lab,11.8481990,75.426877
121,Taliparamba Co-operative Hospital Society,Taliparamba Co-operative Hospital Society  Taliparamba,Kannur,ANTIGEN,Taliparamba Co-operative Hospital Society  Taliparamba  Kannur,Private Lab,12.0435900,75.372840
122,Lourde Hospital,Lourde Hospital  Thalliparamba  Kannur,Kannur,ANTIGEN,Lourde Hospital  Thalliparamba  Kannur  Kannur,Private Lab,12.0415440,75.355537
123,Koyili Hospital,Koyili Hospital  Talap  Kannur,Kannur,ANTIGEN,Koyili Hospital  Talap  Kannur  Kannur,Private Lab,11.8871937,75.370810
124,Dhanalakshmi Hospital Pvt Ltd,Dhanalakshmi Hospital Pvt Ltd  Kannothumchal Road  Kannur,Kannur,ANTIGEN,Dhanalakshmi Hospital Pvt Ltd  Kannothumchal Road  Kannur  Kannur,Private Lab,11.8629460,75.358829
125,Amala Multi Specialty Hospital,Amala Multi Specialty Hospital  Keezhur  Iritty  Kannur,Kannur,ANTIGEN,Amala Multi Specialty Hospital  Keezhur  Iritty  Kannur  Kannur,Private Lab,11.9797300,75.671376
126,Specialty Hospital,Specialty Hospital  Thana  Kannur,Kannur,ANTIGEN,Specialty Hospital  Thana  Kannur  Kannur,Private Lab,11.8776130,75.372761
127,Christuraj Hospital,Christuraj Hospital  Thokkilangadi  Nirmalgiri  Koothuparamba  Kannur,Kannur,ANTIGEN,Christuraj Hospital  Thokkilangadi  Nirmalgiri  Koothuparamba  Kannur  Kannur,Private Lab,11.8776130,75.372761
128,Neethi Lab,Neethi Lab   Thalassery  Kannur,Kannur,ANTIGEN,Neethi Lab   Thalassery  Kannur  Kannur,Private Lab,11.9302670,75.572625
129,Josgiri Hospital,Josgiri Hospital  Thalassery  Kannur,Kannur,ANTIGEN,Josgiri Hospital  Thalassery  Kannur  Kannur,Private Lab,11.7593082,75.478770
130,St Sebastian's Hospital. Kakkayamchal,St Sebastian's Hospital. Kakkayamchal  Cherupuzha  Kannur,Kannur,ANTIGEN,St Sebastian's Hospital. Kakkayamchal  Cherupuzha  Kannur,Private Lab,12.2692417,75.356253
131,Saba Hospital,Saba Hospital  Near Gandhi Park  Payyannur,Kannur,ANTIGEN,Saba Hospital  Near Gandhi Park  Payyannur  Kannur,Private Lab,11.8229460,75.503176
132,Tellicherry Co-Operative Hospital,Tellicherry Co-Operative Hospital  Kannur,Kannur,ANTIGEN,Tellicherry Co-Operative Hospital  Kannur  Kannur,Private Lab,11.7641020,75.479678
133,Thalassery Mission Hospital Pvt Ltd,Thalassery Mission Hospital Pvt Ltd  Goods Shed Road  Thalassery  Kannur,Kannur,ANTIGEN,Thalassery Mission Hospital Pvt Ltd  Goods Shed Road  Thalassery  Kannur  Kannur,Private Lab,12.1006000,75.214670
134,Sreechand Speciality Hospitals Pvt.Ltd,Sreechand Speciality Hospitals Pvt.Ltd  Near SN Park Kannur,Kannur,ANTIGEN,Sreechand Speciality Hospitals Pvt.Ltd  Near SN Park Kannur  Kannur,Private Lab,11.8629460,75.358829
135,THE LAB,THE LAB  Green Valley  Kambil  Kannur  Kerala,Kannur,ANTIGEN,THE LAB  Green Valley  Kambil  Kannur  Kerala  Kannur,Private Lab,9.6760920,76.891754
136,City Institute of Medical Sciences Kerala Pvt. Ltd- Sunrise Hospital,City Institute of Medical Sciences Kerala Pvt. Ltd- Sunrise Hospital Kanhangad Kasaragod,Kannur,ANTIGEN,City Institute of Medical Sciences Kerala Pvt. Ltd- Sunrise Hospital Kanhangad Kasaragod,Private Lab,12.3324250,75.095278
137,KDC LAB,KDC LAB  Opp. Little Flower School  Puthiyakotta Kanhnangad  Kasargode,Kasaragod,ANTIGEN,KDC LAB  Opp. Little Flower School  Puthiyakotta Kanhnangad  Kasargode  Kasaragod,Private Lab,12.3481040,75.094012
138,DDRC SRL,DDRC SRL Opposite to Malabar Gold & Padma Clinic  Kanhangad  Kasaragod,Kasaragod,ANTIGEN,DDRC SRL Opposite to Malabar Gold & Padma Clinic  Kanhangad  Kasaragod  Kasaragod,Private Lab,9.9782850,76.578955
139,INDIAN DIAGNOSTIC LABORATORY(IDL,INDIAN DIAGNOSTIC LABORATORY(IDL  KOTTACHERRY KANHANGAD,Kasaragod,ANTIGEN,INDIAN DIAGNOSTIC LABORATORY(IDL  KOTTACHERRY KANHANGAD,Private Lab,12.3236278,75.086967
140,Kasargod Institute of Medical Science,Kasargod Institute of Medical Science Ashwini Nagar  Kasargod,Kasaragod,ANTIGEN,Kasargod Institute of Medical Science Ashwini Nagar  Kasargod  Kasaragod,Private Lab,12.6761260,74.988872
141,Carewell Hospital & Research Centre,Carewell Hospital & Research Centre  Nullipady  Kasaragod,Kasaragod,ANTIGEN,Carewell Hospital & Research Centre  Nullipady  Kasaragod  Kasaragod,Private Lab,12.5114869,74.998179
142,DDC LAB,DDC LAB TIGER HILLS  PULIKKUNNU ROAD  KASARAGOD,Kasaragod,ANTIGEN,DDC LAB TIGER HILLS  PULIKKUNNU ROAD  KASARAGOD  Kasaragod,Private Lab,12.6153490,74.940350
143,Janardan Hospital,Janardan Hospital  Bank Road  Kasaragod,Kasaragod,ANTIGEN,Janardan Hospital  Bank Road  Kasaragod  Kasaragod,Private Lab,12.6153490,74.940350
144,Malik Deeanar Charitable Hospital,Malik Deeanar Charitable Hospital  Thalangara  Kasaragod,Kasaragod,ANTIGEN,Malik Deeanar Charitable Hospital  Thalangara  Kasaragod,Private Lab,12.4849278,74.991478
145,Neethi Lab,Neethi Lab  Kasargode  Bank Road Kasargode,Kasaragod,ANTIGEN,Neethi Lab  Kasargode  Bank Road Kasargode  Kasaragod,Private Lab,12.6153490,74.940350
146,Neethi Lab,Neethi Lab  Near Regal Tourist Home  Railway Station Road  Kanhangad,Kasaragod,ANTIGEN,Neethi Lab  Near Regal Tourist Home  Railway Station Road  Kanhangad  Kasaragod,Private Lab,12.3064600,75.100393
147,Devi Clinical Laboratory,Devi Clinical Laboratory  Kollam,Kasaragod,ANTIGEN,Devi Clinical Laboratory  Kollam,Private Lab,8.8869000,76.588714
148,EK Nayanar Memorial,EK Nayanar Memorial  Co Operative Hospital  Chengala  Kasargod,Kasaragod,ANTIGEN,EK Nayanar Memorial  Co Operative Hospital  Chengala  Kasargod  Kasaragod,Private Lab,12.5101170,75.035313
149,UNITED MEDICAL CENTER,UNITED MEDICAL CENTER  KOTEKANI ROAD  KASARAGOD,Kasaragod,ANTIGEN,UNITED MEDICAL CENTER  KOTEKANI ROAD  KASARAGOD  Kasaragod,Private Lab,12.6153490,74.940350
150,G K CLINICAL LABORATORY,G K CLINICAL LABORATORY  MADHAVA PAI BUILDING   BADIADKA ROAD   KUMBALA  KASARAGOD,Kasaragod,ANTIGEN,G K CLINICAL LABORATORY  MADHAVA PAI BUILDING   BADIADKA ROAD   KUMBALA  KASARAGOD  Kasaragod,Private Lab,12.5837760,75.072783
151,DDRC SRL Diagnostics Pvt Ltd,DDRC SRL Diagnostics Pvt Ltd  Chinnakkada  Kollam.,Kollam,ANTIGEN,DDRC SRL Diagnostics Pvt Ltd  Chinnakkada  Kollam.,Private Lab,8.8880972,76.586231
152,Travancore Medicity Medical College,Travancore Medicity Medical College  Kollam,Kollam,ANTIGEN,Travancore Medicity Medical College  Kollam  Kollam,Private Lab,8.8752160,76.644960
153,Holy cross Hospital,Holy cross Hospital  Kottiyam,Kollam,ANTIGEN,Holy cross Hospital  Kottiyam  Kollam,Private Lab,8.8984200,76.861470
154,Meditrina hospital laboratory,Meditrina hospital laboratory Ayathil  Kollam,Kollam,ANTIGEN,Meditrina hospital laboratory Ayathil  Kollam   Kollam,Private Lab,8.8956830,76.600777
155,Matha Medical Centre,Matha Medical Centre Mathilil Kollam,Kollam,ANTIGEN,Matha Medical Centre Mathilil Kollam  Kollam,Private Lab,8.9866400,76.534130
156,DDRC SRL Diagnostics Pvt. Ltd.,DDRC SRL Diagnostics Pvt. Ltd.   City Tower  Kottarakkara  Kollam,Kollam,ANTIGEN,DDRC SRL Diagnostics Pvt. Ltd.   City Tower  Kottarakkara  Kollam,Private Lab,9.0056306,76.777692
157,Dr Nair's Hospital,Dr Nair's Hospital  Kollam,Kollam,ANTIGEN,Dr Nair's Hospital  Kollam  Kollam,Private Lab,8.8948510,76.598888
158,NS Memorial Institute of Medical Sciences,NS Memorial Institute of Medical Sciences  Palathara  Kollam,Kollam,ANTIGEN,NS Memorial Institute of Medical Sciences  Palathara  Kollam  Kollam,Private Lab,8.8898120,76.597863
159,DDRC SRL Diagnostic Services Pvt Ltd,DDRC SRL Diagnostic Services Pvt Ltd  Sri sri building  Parippally  Kollam,Kollam,ANTIGEN,DDRC SRL Diagnostic Services Pvt Ltd  Sri sri building  Parippally  Kollam,Private Lab,8.8126194,76.753131
160,KIMS Kollam Multispecialty Hospital India Pvt. Ltd.,KIMS Kollam Multispecialty Hospital India Pvt. Ltd.,Kollam,ANTIGEN,KIMS Kollam Multispecialty Hospital India Pvt. Ltd.  Kollam,Private Lab,8.9062710,76.766212
161,Padmavathy Medical Foundation,Padmavathy Medical Foundation Manakkara Sasthamcotta P.O. Kollam,Kollam,ANTIGEN,Padmavathy Medical Foundation Manakkara Sasthamcotta P.O. Kollam  Kollam,Private Lab,8.8688010,76.643791
162,St Josephs Mission Hospital Anchal Kollam,St Josephs Mission Hospital Anchal Kollam,Kollam,ANTIGEN,St Josephs Mission Hospital Anchal Kollam  Kollam,Private Lab,8.9294212,76.918039
163,UPASANA HOSPITAL,UPASANA HOSPITAL  Q S Road Kollam,Kollam,ANTIGEN,UPASANA HOSPITAL  Q S Road Kollam  Kollam,Private Lab,8.8887660,76.596861
164,BIOVISION CLINICAL LAB,BIOVISION CLINICAL LAB  NEAR SBI  MC ROAD  VALAKOM  KOTTARAKKARA,Kollam,ANTIGEN,BIOVISION CLINICAL LAB  NEAR SBI  MC ROAD  VALAKOM  KOTTARAKKARA  Kollam,Private Lab,8.8956830,76.600777
165,Quality Care Diagnostic Centre,Quality Care Diagnostic Centre  Town Plaza  Pulamon  Kottarakkara,Kollam,ANTIGEN,Quality Care Diagnostic Centre  Town Plaza  Pulamon  Kottarakkara  Kollam,Private Lab,9.0180060,76.924767
166,VIJAYA HOSPITAL,VIJAYA HOSPITAL PULAMON P O KOTTARAKKARA,Kollam,ANTIGEN,VIJAYA HOSPITAL PULAMON P O KOTTARAKKARA  Kollam,Private Lab,8.8875220,76.610283
167,Bishop benziger Hospital,Bishop benziger Hospital  Beach Road  Kollam,Kollam,ANTIGEN,Bishop benziger Hospital  Beach Road  Kollam  Kollam,Private Lab,8.8811141,76.593203
168,Poyanil Hospital Punalur,Poyanil Hospital Punalur,Kollam,ANTIGEN,Poyanil Hospital Punalur  Kollam,Private Lab,9.0201408,76.909860
169,Pazhaveedu Medical Care Specialty Hospital,Pazhaveedu Medical Care Specialty Hospital  Pulamon PO  Kottarakkara,Kollam,ANTIGEN,Pazhaveedu Medical Care Specialty Hospital  Pulamon PO  Kottarakkara  Kollam,Private Lab,8.9005460,76.588207
170,DDRC SRL Diagnostics Private Limited,DDRC SRL Diagnostics Private Limited Gandhi Nagar Kottayam,Kollam,ANTIGEN,DDRC SRL Diagnostics Private Limited Gandhi Nagar Kottayam,Private Lab,9.6254361,76.539456
171,Azeezia Medical College Hospital,Azeezia Medical College Hospital  Meeyannoor,Kollam,ANTIGEN,Azeezia Medical College Hospital  Meeyannoor  Kollam,Private Lab,8.8895420,76.737682
172,Bharath Hospital,Bharath Hospital  Kottayam,Kottayam,ANTIGEN,Bharath Hospital  Kottayam  Kottayam,Private Lab,9.5894925,76.519573
173,St. Thomas Hospital,St. Thomas Hospital  Chethipuzha  Changanassery,Kottayam,ANTIGEN,St. Thomas Hospital  Chethipuzha  Changanassery  Kottayam,Private Lab,9.4625088,76.552347
174,Little Lourdes Mission Hospital Kidangoor Kottayam,Little Lourdes Mission Hospital Kidangoor Kottayam,Kottayam,ANTIGEN,Little Lourdes Mission Hospital Kidangoor Kottayam,Private Lab,9.6835889,76.612219
